condition,seed,fold,n_test_windows,n_test_subjects,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
common_average_reference,8,2,1659,24,0.8499095840867993,0.9259259259259259,0.76171875,0.8184523809523809,0.8688783570300157,0.9403862116535726
original_A1A2_same_windows,8,3,1608,24,0.7052238805970149,0.7244897959183674,0.6818181818181818,0.7344827586206897,0.7294520547945206,0.770918055008964
common_average_reference,8,3,1608,24,0.7406716417910447,0.7426303854875284,0.7382920110192838,0.7751479289940828,0.7585408222350897,0.7759490389360519
original_A1A2_same_windows,8,4,1722,24,0.7955865272938444,0.9589322381930184,0.5828877005347594,0.7495987158908507,0.8414414414414414,0.8557137994268083
common_average_reference,8,4,1722,24,0.7502903600464577,0.9496919917864476,0.49064171122994654,0.7082695252679939,0.8114035087719299,0.8876991621737366
original_A1A2_same_windows,9,0,1662,24,0.7978339350180506,0.8487486398258978,0.7348586810228802,0.7983623336745138,0.8227848101265823,0.8621541350024969
common_average_reference,9,0,1662,24,0.8477737665463297,0.9455930359085963,0.7267833109017496,0.8106343283582089,0.8729281767955802,0.9112199901291268
original_A1A2_same_windows,9,1,1562,24,0.8028169014084507,0.7752808988764045,0.8392857142857143,0.8646616541353384,0.8175355450236967,0.8767338817549493
common_average_reference,9,1,1562,24,0.8130601792573624,0.7235955056179775,0.9315476190476191,0.9333333333333333,0.8151898734177214,0.9184122525414661
original_A1A2_same_windows,9,2,1659,24,0.8143459915611815,0.8260381593714927,0.80078125,0.8278965129358831,0.8269662921348315,0.9055828832304527
common_average_reference,9,2,1659,24,0.9168173598553345,0.9775533108866442,0.8463541666666666,0.8806875631951466,0.926595744680851,0.9818241734474373
original_A1A2_same_windows,9,3,1608,24,0.6915422885572139,0.800453514739229,0.559228650137741,0.6881091617933723,0.7400419287211739,0.7705268516956829
common_average_reference,9,3,1608,24,0.7705223880597015,0.8435374149659864,0.6818181818181818,0.7630769230769231,0.801292407108239,0.8403148679122706
original_A1A2_same_windows,9,4,1722,24,0.7787456445993032,0.8439425051334702,0.6938502673796791,0.7821122740247384,0.8118518518518519,0.8622541699151194
common_average_reference,9,4,1722,24,0.7799070847851336,0.9229979466119097,0.5935828877005348,0.7472984206151289,0.8259072117593017,0.8643610888447223
