global_window_index,max_abs_amplitude,max_peak_to_peak,max_abs_kurtosis,frontal_low_frequency_ratio,frontal_high_frequency_ratio,line_noise_ratio,min_channel_std,nonfinite,flat_channel
6449,568.0,993.0,1.9369771117591092,0.29034698097574796,0.031093138025061494,0.31778268489808886,91.7969451462498,False,False
6450,1524.0,2281.0,12.728714518282212,0.17733360755196756,0.07969200101561315,0.42534819498526916,143.59142842704262,False,False
6451,1524.0,2392.0,7.62939223536439,0.2189521188878282,0.021029310593825026,0.35824911368690043,126.3368935867601,False,False
6452,1051.0,1508.0,12.766101319136816,0.11496409267800323,0.09689487708850315,0.31756233699711894,103.35130927922599,False,False
6453,936.0,1361.0,4.338413521649466,0.1014506373429221,0.09612308578075275,0.3408819740127754,105.26843953740543,False,False
6454,936.0,1407.0,2.238352942954462,0.2932685121065945,0.04655952587158644,0.39911564754012946,108.05571833655205,False,False
6455,825.0,1103.0,3.5727673205325665,0.21188691956132694,0.07853887047896263,0.2421350741747832,113.15959415798557,False,False
6456,715.0,882.0,3.360577931217292,0.3062112559343692,0.08197131900458231,0.2723105013292113,84.52616053012726,False,False
6457,568.0,846.0,0.6037553760000969,0.26782463092416525,0.15711287805048205,0.3393035423768102,87.37796052602313,False,False
6458,568.0,846.0,0.3773814128967654,0.11176586349778571,0.23262087123595457,0.3220026289362064,92.66499978448493,False,False
6459,2021.0,3378.0,13.442794053073456,0.1548648819712382,0.15918353067517813,0.32106903770939627,107.38591216197483,False,False
6460,2021.0,3378.0,9.27856830277539,0.2531704477265007,0.04899013684729353,0.30238051699540763,109.6983369261318,False,False
6461,1951.0,3484.0,7.878251010233273,0.41258424802710747,0.05847586209026475,0.3605150276223638,121.75574793162099,False,False
6462,1951.0,3484.0,9.176460593235968,0.35228163635124865,0.04847838869062233,0.27158632838969676,115.21045593918481,False,False
6463,715.0,919.0,2.5573002188922747,0.14694678898243935,0.24499520318322532,0.24841298935705663,81.91140797197255,False,False
6464,1639.0,2906.0,10.902437206687722,0.1342532626398218,0.15054636139462493,0.2812677783077347,133.04130193985094,False,False
6465,1639.0,2906.0,9.19299338012324,0.47371224703939574,0.04667725423702127,0.27624860874034063,133.5750420786102,False,False
6466,568.0,1055.0,1.9797354561229241,0.20131560653516284,0.19875054532441178,0.3491507179258725,87.06910519488102,False,False
6467,568.0,809.0,0.5452410942923329,0.10892122734946481,0.08236451706760126,0.40096762549616255,91.05697388857098,False,False
6468,1561.0,2722.0,5.927986515155574,0.14790620858158507,0.03762249916717847,0.43197606835058194,131.72776829809234,False,False
6469,1561.0,2722.0,6.744041713066011,0.23135077589963174,0.04619691061039129,0.33268817762405045,133.48173277958242,False,False
6470,788.0,950.0,4.895114184805087,0.25743089685058523,0.13116651050554373,0.39277985015739714,87.31180844753281,False,False
6471,2007.0,3826.0,11.863233426250895,0.15248404448971636,0.08146859514065746,0.2220165285057541,112.34293614969468,False,False
6472,2007.0,3826.0,13.066101629557686,0.18745123285770235,0.10883023828865888,0.3016531105965976,117.54418956848636,False,False
6473,531.0,809.0,0.9710230236922568,0.08516042764530882,0.23758070873082238,0.27782760795492195,82.9326403875114,False,False
6474,649.0,1287.0,1.2560621564449095,0.23671899495634918,0.11533638394015595,0.3037216336802838,89.54907447511317,False,False
6475,684.0,1302.0,1.0301911562436263,0.1868606049048567,0.05930654556866936,0.45456696812137315,77.98567300433592,False,False
6476,936.0,1361.0,2.655150023471058,0.238346174143105,0.06753961265248938,0.37366634706187396,127.03307170242064,False,False
6477,936.0,1361.0,2.1028419477076383,0.4320527370753944,0.05164592135430746,0.4136816280455341,130.4431870394672,False,False
6478,789.0,1548.0,1.8062125907638302,0.08951562044014802,0.10583460216014696,0.26271298512219793,109.76362653874689,False,False
6479,789.0,1548.0,0.6414691364496492,0.11464451591706785,0.076907942733417,0.24731390549032858,96.31878178215827,False,False
6480,789.0,1231.0,2.4666250388790267,0.13723066546868212,0.11399057308303545,0.3346085408154751,106.4347514112914,False,False
6481,789.0,1301.0,2.4577094375284423,0.32791570652591734,0.11743793424052461,0.3052491274627861,109.869191299369,False,False
6482,1598.0,3127.0,5.832680973719736,0.20851388388199044,0.0323550149571515,0.30886514319893055,144.99819313765119,False,False
6483,3921.0,7616.0,5.619052200691087,0.4518846403474694,0.026747667387588214,0.3546756881285081,166.92958895020303,False,False
6484,4395.0,8316.0,24.368740330595614,0.5687445490671107,0.14882356046253253,0.23174018740020536,194.26139097064703,False,False
6485,4395.0,6218.0,27.476301889560915,0.8187526983692568,0.04029298158545347,0.37449557060324373,181.6505496175585,False,False
6486,641.0,1126.0,0.5700071966541671,0.23769589451784,0.04011765187687077,0.36904683927779286,92.00963898625967,False,False
6487,3443.0,4379.0,26.28239306488601,0.15352197064397266,0.023561206524985733,0.4499109893920769,142.85419269213088,False,False
6488,3443.0,4379.0,27.41250629906024,0.21461721073768705,0.04421417637092533,0.3257438483860003,149.96596577137092,False,False
6489,568.0,993.0,1.636984003530359,0.196731920579125,0.04850008403937122,0.41366523669331456,101.21651758486277,False,False
6490,568.0,950.0,2.0939958256952735,0.1757616350884026,0.06268120445876367,0.33522355208648086,88.22916845136248,False,False
6491,867.0,1361.0,6.567989990265927,0.11687683423307015,0.12045901182975154,0.3443574167951958,101.39603393066662,False,False
6492,1340.0,1802.0,5.938506783185439,0.29077667486249864,0.10490700073060204,0.30462102001054836,99.1369913936849,False,False
6493,1340.0,1802.0,8.044426250257398,0.3211816162942647,0.09840216467897793,0.38049388511157345,78.05630065393404,False,False
6494,613.0,879.0,0.428148648617789,0.36009366983327123,0.06735076533712438,0.3698275962953102,78.39019277695647,False,False
6495,754.0,1020.0,2.0327476548269505,0.20399344788268436,0.04226371874686063,0.33715877106073155,77.23332671438602,False,False
6496,754.0,1020.0,2.5614107825230175,0.18885726356371502,0.07317690043799437,0.41664392110290593,77.4869372772495,False,False
6497,3995.0,5777.0,10.874383411959048,0.8514931732524802,0.009645000912276342,0.38491516832973294,112.25580158831157,False,False
6498,3995.0,5777.0,8.973351372333125,0.7021948747497638,0.005856936618461093,0.26481501676645447,122.55611630650884,False,False
6499,1308.0,2133.0,4.7192014862191956,0.32997264633639045,0.08702478177492826,0.3054783565627306,96.37944586527063,False,False
6500,789.0,1407.0,1.9717796100254432,0.04015381222488864,0.06186576981367055,0.3538926797961232,93.00595481840584,False,False
6501,578.0,1030.0,3.2628499631927568,0.1587733930898067,0.15876573705984082,0.33774464531997606,88.43542262356965,False,False
6502,641.0,1029.0,1.9018782508036471,0.11584636959041296,0.08739935632633886,0.2596172216969328,89.79246666028955,False,False
6503,641.0,1029.0,0.9299726658155238,0.1544157599185067,0.12629789658706397,0.28191358924662785,87.70063205956649,False,False
6504,825.0,1176.0,2.055786209115734,0.16029482966445116,0.06094291914553432,0.25598632293701346,97.2182797476058,False,False
6505,825.0,1176.0,2.394010014740706,0.1841895179648293,0.06167071022862233,0.24369727899589425,88.46303109482174,False,False
6506,899.0,1513.0,3.4448407752518353,0.2498492440181809,0.094599450097146,0.3371475886746956,84.52045709947647,False,False
6507,899.0,1513.0,1.7011489604827554,0.09258534928844141,0.029197659161333808,0.3581490810392808,94.14920085419936,False,False
6508,1106.0,1478.0,0.9296631841948542,0.2206292189868234,0.0379604808024665,0.3654076947919774,88.07042353594387,False,False
6509,1106.0,1477.0,2.2483604469930505,0.44899844600789807,0.09106796455595505,0.35070236060286225,76.07778100112044,False,False
6510,678.0,1029.0,0.8343315147779027,0.3075508631547259,0.11100935406092857,0.3187857512792433,72.17477048461488,False,False
6511,715.0,1030.0,0.5960246184887841,0.19184295972637105,0.14491589068795474,0.31773259298137413,74.4507393774001,False,False
6512,715.0,1030.0,0.38926522027395905,0.2880835153668545,0.1676959267169295,0.39781079023964816,90.56245922564213,False,False
6513,829.0,1513.0,3.3002799942937386,0.2526577565531233,0.0383563307794917,0.40370586657369,118.78231440917519,False,False
6514,2483.0,3096.0,5.157906635933475,0.1946747029067329,0.09841205229097598,0.49628619905900767,87.22326276715991,False,False
6515,1051.0,1692.0,4.150345246187476,0.2269633903844852,0.10145858089536375,0.32719217384040317,70.60986552159883,False,False
